date,capital,peak,drawdown
2024-03-07,106770.37206759128,106770.37206759128,0.0
2024-03-11,106770.37206759128,106770.37206759128,0.0
2024-03-12,106770.37206759128,106770.37206759128,0.0
2024-03-13,106770.37206759128,106770.37206759128,0.0
2024-03-14,106770.37206759128,106770.37206759128,0.0
2024-03-15,106770.37206759128,106770.37206759128,0.0
2024-03-18,106770.37206759128,106770.37206759128,0.0
2024-03-19,106770.37206759128,106770.37206759128,0.0
2024-03-20,106770.37206759128,106770.37206759128,0.0
2024-03-21,106770.37206759128,106770.37206759128,0.0
2024-03-22,106770.37206759128,106770.37206759128,0.0
2024-03-26,106770.37206759128,106770.37206759128,0.0
2024-03-27,106770.37206759128,106770.37206759128,0.0
2024-03-28,106770.37206759128,106770.37206759128,0.0
2024-04-01,106770.37206759128,106770.37206759128,0.0
2024-04-02,106770.37206759128,106770.37206759128,0.0
2024-04-03,106770.37206759128,106770.37206759128,0.0
2024-04-04,106770.37206759128,106770.37206759128,0.0
2024-04-05,106770.37206759128,106770.37206759128,0.0
2024-04-08,106770.37206759128,106770.37206759128,0.0
2024-04-09,106770.37206759128,106770.37206759128,0.0
2024-04-10,106770.37206759128,106770.37206759128,0.0
2024-04-12,106770.37206759128,106770.37206759128,0.0
2024-04-15,106770.37206759128,106770.37206759128,0.0
2024-04-16,106770.37206759128,106770.37206759128,0.0
2024-04-18,106770.37206759128,106770.37206759128,0.0
2024-04-19,106770.37206759128,106770.37206759128,0.0
2024-04-22,106770.37206759128,106770.37206759128,0.0
2024-04-23,106770.37206759128,106770.37206759128,0.0
2024-04-24,106770.37206759128,106770.37206759128,0.0
2024-04-25,106770.37206759128,106770.37206759128,0.0
2024-04-26,106770.37206759128,106770.37206759128,0.0
2024-04-29,106770.37206759128,106770.37206759128,0.0
2024-04-30,106770.37206759128,106770.37206759128,0.0
2024-05-02,106770.37206759128,106770.37206759128,0.0
2024-05-03,106770.37206759128,106770.37206759128,0.0
2024-05-06,106770.37206759128,106770.37206759128,0.0
2024-05-07,106770.37206759128,106770.37206759128,0.0
2024-05-08,106770.37206759128,106770.37206759128,0.0
2024-05-09,106770.37206759128,106770.37206759128,0.0
2024-05-10,106770.37206759128,106770.37206759128,0.0
2024-05-13,106770.37206759128,106770.37206759128,0.0
2024-05-14,106770.37206759128,106770.37206759128,0.0
2024-05-15,106770.37206759128,106770.37206759128,0.0
2024-05-16,106770.37206759128,106770.37206759128,0.0
2024-05-17,106770.37206759128,106770.37206759128,0.0
2024-05-21,106770.37206759128,106770.37206759128,0.0
2024-05-22,106770.37206759128,106770.37206759128,0.0
2024-05-23,106770.37206759128,106770.37206759128,0.0
2024-05-24,106770.37206759128,106770.37206759128,0.0
2024-05-28,106770.37206759128,106770.37206759128,0.0
2024-05-29,106770.37206759128,106770.37206759128,0.0
2024-05-30,106770.37206759128,106770.37206759128,0.0
2024-05-31,106770.37206759128,106770.37206759128,0.0
2024-06-03,106770.37206759128,106770.37206759128,0.0
2024-06-04,106770.37206759128,106770.37206759128,0.0
2024-06-05,106770.37206759128,106770.37206759128,0.0
2024-06-06,106770.37206759128,106770.37206759128,0.0
2024-06-07,106770.37206759128,106770.37206759128,0.0
2024-06-10,106770.37206759128,106770.37206759128,0.0
2024-06-11,106770.37206759128,106770.37206759128,0.0
2024-06-12,106770.37206759128,106770.37206759128,0.0
2024-06-13,106770.37206759128,106770.37206759128,0.0
2024-06-14,106770.37206759128,106770.37206759128,0.0
2024-06-18,106770.37206759128,106770.37206759128,0.0
2024-06-20,106770.37206759128,106770.37206759128,0.0
2024-06-21,106770.37206759128,106770.37206759128,0.0
2024-06-24,106770.37206759128,106770.37206759128,0.0
2024-06-25,106770.37206759128,106770.37206759128,0.0
2024-06-26,106770.37206759128,106770.37206759128,0.0
2024-06-27,106770.37206759128,106770.37206759128,0.0
2024-06-28,106770.37206759128,106770.37206759128,0.0
2024-07-01,106770.37206759128,106770.37206759128,0.0
2024-07-02,106770.37206759128,106770.37206759128,0.0
2024-07-03,106770.37206759128,106770.37206759128,0.0
2024-07-05,106770.37206759128,106770.37206759128,0.0
2024-07-08,106770.37206759128,106770.37206759128,0.0
2024-07-09,106770.37206759128,106770.37206759128,0.0
2024-07-10,106770.37206759128,106770.37206759128,0.0
2024-07-11,106770.37206759128,106770.37206759128,0.0
2024-07-12,106770.37206759128,106770.37206759128,0.0
2024-07-15,106770.37206759128,106770.37206759128,0.0
2024-07-16,106770.37206759128,106770.37206759128,0.0
2024-07-18,106770.37206759128,106770.37206759128,0.0
2024-07-19,106770.37206759128,106770.37206759128,0.0
2024-07-22,106770.37206759128,106770.37206759128,0.0
2024-07-23,106770.37206759128,106770.37206759128,0.0
2024-07-24,107356.32887326751,107356.32887326751,0.0
2024-07-25,107356.32887326751,107356.32887326751,0.0
2024-07-26,107356.32887326751,107356.32887326751,0.0
2024-07-29,107356.32887326751,107356.32887326751,0.0
2024-07-30,107356.32887326751,107356.32887326751,0.0
2024-07-31,107356.32887326751,107356.32887326751,0.0
2024-08-01,107356.32887326751,107356.32887326751,0.0
2024-08-02,107356.32887326751,107356.32887326751,0.0
2024-08-05,107356.32887326751,107356.32887326751,0.0
2024-08-06,107356.32887326751,107356.32887326751,0.0
2024-08-07,107356.32887326751,107356.32887326751,0.0
2024-08-08,107356.32887326751,107356.32887326751,0.0
2024-08-09,107356.32887326751,107356.32887326751,0.0
2024-08-12,107356.32887326751,107356.32887326751,0.0
2024-08-13,107356.32887326751,107356.32887326751,0.0
2024-08-14,107356.32887326751,107356.32887326751,0.0
2024-08-16,107356.32887326751,107356.32887326751,0.0
2024-08-19,107356.32887326751,107356.32887326751,0.0
2024-08-20,107356.32887326751,107356.32887326751,0.0
2024-08-21,107356.32887326751,107356.32887326751,0.0
